87 52.4
66 53.8
69 52.2
47 53.1
72 52
70 50.3
68 53.9
62 54
67 52.7
73 52.6
84 49
79 47.8
65 51.7
72 52
82 47.8
68 50.4
87 49.3
73 50.2
78 51.4
59 47.9
66 51.5
72 49
58 50.2
69 50.5
81 57.2
63 54.1
68 51.1
73 52.4
84 51.2
69 52.2
80 52.9
53 53.4
71 55.4
66 55.7
73 54.4
73 55
70 53.9
91 52
75 51.8
69 49.8
80 50.1
82 50.1
71 50.1
84 52.6
91 55.2
89 52.7
96 51.4
75 53.8
69 53.4
71 50.1
92 51.6
77 52.9
87 51
91 53.4
73 51.2
69 49.8
80 51.8
105 51.8
66 51.4
91 50.6
87 54.9
79 48.9
91 46.9
118 40.1
106 36.5
112 35.3
101 30.9
114 26.8
109 22.8
111 22.8
108 29.1
121 34.5
95 35
112 29.4
109 23.9
115 25
111 26.3
98 30.7
94 32.7
116 33.6
111 27
112 25.1
118 26.2
118 31.5
126 30.6
97 22.2
103 20.7
123 23
100 20.5
108 22
121 24.2
115 25.9
115 32.6
129 38.6
104 38.3
113 37.1
115 37.5
136 39.6
130 39.5
119 33.3
114 25.9
122 24.3
125 25.5
114 25.1
114 26.5
115 22.6
119 21
130 23.4
135 31
119 36.7
147 41.2
117 43.5
134 36.6
139 41.3
106 50.2
105 53.4
85 55.6
84 57.6
82 57.6
70 56.9
79 61.1
84 61.9
79 62.9
80 62.2
68 60.1
61 61.9
77 61.3
69 62.8
62 61.5
75 58.7
59 58.2
71 58.9
45 59
77 57.6
63 59.4
63 59.4
63 62.1
56 61.4
63 60.9
60 63.4
74 61.1
53 60.3
52 60.3
51 59.8
54 57.6
64 59.9
52 60.2
55 58.1
43 60
68 57.7
46 59.3
52 56.9
57 58.4
61 58.6
56 56.1
41 57.8
45 59.7
52 60.8
41 61.6
55 58.5
51 58.2
49 57.5
37 57
48 57.2
41 59.9
36 59.8
32 62.1
44 60.8
27 58.9
38 59.5
35 57.5
24 57.8
28 60.8
31 58
22 57.4
23 58.7
28 56.6
20 56.7
17 58.7
21 58.9
15 64.5
18 64.3
16 62.5
14 59.6
22 57.3
14 56.5
16 55.4
10 54.9
15 54.8
16 53.4
21 55.2
12 55.9
19 55.6
20 53
19 50
11 48.3
17 46.2
12 46.4
14 46.2
18 45.1
14 45.3
18 44.4
19 44.4
18 45
13 46.3
8 45.1
13 44.9
10 46
11 44.6
17 46.7
9 47.9
6 47.4
13 47.3
15 48.6
13 50.4
9 51.7
15 48.6
14 49.8
5 49.7
6 48.7
12 47.9
10 47.8
9 46
6 45.3
9 45.1
9 47.3
13 48.2
6 46.8
8 46.2
15 45
13 44.2
13 43.1
20 43.7
16 46.6
8 47.9
12 49.3
7 51.2
14 53.2
16 51.3
15 53.1
15 53
12 52.6
18 54.3
13 53.7
25 58.1
17 57.5
19 58.5
33 56.5
29 59.3
26 59
41 60.6
41 62.1
37 62.4
37 59.8
38 59.8
38 62.2
40 61.4
42 59.1
40 59.2
48 58.8
45 60.6
49 56.8
69 60.4
62 61.7
73 66.8
56 64.7
75 60.4
58 61.1
79 64.2
73 62.5
94 53.7
113 56.2
96 59.2
114 51.9
102 48
98 51.2
98 55.4
76 55.1
66 54.2
86 56.8
88 56
88 58.6
72 59.3
98 60.4
78 56.3
89 57.2
81 57.4
87 58.8
69 54.9
79 56.1
80 58
82 58.3
67 60.4
60 58.3
77 54.8
69 54.7
80 56.5
91 58.3
82 58.8
84 57.2
71 54.6
74 57.3
73 57
72 59.2
87 58
68 58
68 59.4
80 58.6
73 55
65 56.2
79 58.6
65 56.9
62 57.6
71 57.1
70 59.4
71 60.1
65 59
77 59.1
59 57.5
75 57.2
68 57
79 58.6
95 61.2
89 58.8
68 59.7
84 61.9
81 60.1
79 60.7
79 58.2
79 58.2
80 54.7
90 53.2
92 56.4
86 56.3
83 57.8
75 60.1
83 59.8
73 56.2
74 57
77 56.1
83 57
68 58.1
74 54.6
85 55.3
90 59
73 60
90 57.1
98 59.8
91 57.7
91 59.4
97 57.1
112 46.6
111 40.8
103 45
91 44.4
95 40.1
110 35.7
116 29.6
112 25
119 24
134 31.1
111 29.6
80 20.6
100 22.4
107 23.5
101 31.3
99 24.7
97 22.1
97 26
111 25
109 23.7
121 27.7
103 31.7
112 30.8
109 25.5
96 23.2
109 22.6
106 25.4
101 20.6
118 31.6
120 34.1
111 36.4
113 30.3
90 20.4
120 27.2
107 23.4
111 21.6
102 19.4
89 15.5
86 13.6
126 21.7
88 16.2
113 18.4
104 17.6
103 16.2
98 14.1
111 15.1
92 13.6
127 24.4
113 27.7
132 26
79 17.2
58 12.2
127 30.6
133 32.4
126 42
116 48.2
119 47.4
128 47.7
120 46.7
106 50.8
82 56.5
92 57.7
74 60.4
92 59.6
81 62.7
72 66.3
56 66.3
71 66.1
57 68.3
53 66.5
48 68.1
60 66.6
63 65.7
61 64.5
55 63.9
62 64.7
65 65.3
57 65.4
59 66.3
61 64.3
53 64.7
58 64.7
51 64.5
57 63.7
60 62.8
54 63.7
51 63.4
60 65.1
52 66.4
61 66.9
30 66.9
7 64.7
0 64.7
